அறம் ஒரு கருவி   	அரம் ஒரு கருவி   
தொலைபேசியில் அலைத்தான் 	தொலைபேசியில் அழைத்தான் 
அலை என்றால் வளை என்று பொருள் 	அளை என்றால் வளை என்று பொருள் 
அழை என்றால் வளை என்று பொருள் 	அளை என்றால் வளை என்று பொருள் 
வேலை ஆல் 	வேலை ஆள் 
வேலை ஆழ் 	வேலை ஆள் 
ஆல் மனம் 	ஆழ் மனம் 
ஆள் மனம் 	ஆழ் மனம் 
ஆழ் கிளை	ஆல் கிளை
ஆள் கிளை	ஆல் கிளை
தாமரை இளை 	தாமரை இலை 
தாமரை இழை 	தாமரை இலை 
இலைத்தல் இகழ்ச்சி 	இளைத்தல் இகழ்ச்சி 
இழைத்தல் இகழ்ச்சி 	இளைத்தல் இகழ்ச்சி 
இலை என்பது மெல்லிய நூல் 	இழை என்பது மெல்லிய நூல் 
இளை என்பது மெல்லிய நூல் 	இழை என்பது மெல்லிய நூல் 
நிலத்தில் உலவு செய்யலாம் 	நிலத்தில் உழவு செய்யலாம் 
நிலத்தில் உளவு செய்யலாம் 	நிலத்தில் உழவு செய்யலாம் 
ஒற்றன் உலவு பார்த்தான் 	ஒற்றன் உளவு பார்த்தான் 
ஒற்றன் உழவு பார்த்தான் 	ஒற்றன் உளவு பார்த்தான் 
ஆற்றங்கரையில் உளவினேன் 	ஆற்றங்கரையில் உலவினேன் 
ஆற்றங்கரையில் உழவினேன் 	ஆற்றங்கரையில் உலவினேன் 
ஒளி என்றால் சத்தம் 	ஒலி என்றால் சத்தம் 
ஒழி என்றால் சத்தம் 	ஒலி என்றால் சத்தம் 
ஒலி என்றால் வெளிச்சம் 	ஒளி என்றால் வெளிச்சம் 
ஒழி என்றால் வெளிச்சம் 	ஒளி என்றால் வெளிச்சம் 
ஒலி  என்பது அழித்தல் 	ஒழி என்பது அழித்தல் 
ஒளி என்பது அழித்தல் 	ஒழி என்பது அழித்தல் 
களி என்றால் பஞ்சம் 	கலி என்றால் பஞ்சம் 
கழி என்றால் பஞ்சம் 	கலி என்றால் பஞ்சம் 
கலி என்பதன் பொருள்  மகிழ்தல் 	களி என்பதன் பொருள்  மகிழ்தல் 
கழி என்பதன் பொருள்  மகிழ்தல் 	களி என்பதன் பொருள்  மகிழ்தல் 
கலி என்றால் உப்பளம் 	கழி என்றால் உப்பளம் 
களி என்றால் உப்பளம் 	கழி என்றால் உப்பளம் 
களை என்பதன் பொருள் மூங்கில் 	கழை என்பதன் பொருள் மூங்கில் 
கலை என்பதன் பொருள் மூங்கில் 	கழை என்பதன் பொருள் மூங்கில் 
நடனக் களை	நடனக் கலை
நடனக் கழை	நடனக் கலை
கலை பறித்தாள் 	களை பறித்தாள் 
கழை பறித்தாள் 	களை பறித்தாள் 
கிலி ஒரு பறவை 	கிளி ஒரு பறவை 
கிழி ஒரு பறவை 	கிளி ஒரு பறவை 
தாளைக் கிலி 	தாளைக் கிழி 
தாளைக் கிளி 	தாளைக் கிழி 
கிளி என்பதன் பொருள் பயம் 	கிலி என்பதன் பொருள் பயம் 
கிழி என்பதன் பொருள் பயம் 	கிலி என்பதன் பொருள் பயம் 
படை சூலப் புறப்பட்டான் 	படை சூழப் புறப்பட்டான் 
படை சூளப் புறப்பட்டான் 	படை சூழப் புறப்பட்டான் 
சூல் என்பதன் பொருள் சபதம் 	சூள் என்பதன் பொருள் சபதம் 
சூழ் என்பதன் பொருள் சபதம் 	சூள் என்பதன் பொருள் சபதம் 
சூள் என்பதன் பொருள் கருப்பம் 	சூல் என்பதன் பொருள் கருப்பம் 
சூழ் என்பதன் பொருள் கருப்பம் 	சூல் என்பதன் பொருள் கருப்பம் 
தளையில் தொப்பி வைத்தான் 	தலையில் தொப்பி வைத்தான் 
தழையில் தொப்பி வைத்தான் 	தலையில் தொப்பி வைத்தான் 
தழை என்பதன் பொருள் கட்டு 	தளை என்பதன் பொருள் கட்டு 
தலை என்பதன் பொருள் கட்டு 	தளை என்பதன் பொருள் கட்டு 
தளை என்பதன் பொருள் தளிர் 	தழை என்பதன் பொருள் தளிர் 
தலை என்பதன் பொருள் தளிர் 	தழை என்பதன் பொருள் தளிர் 
வளியில் துடித்தாள் 	வலியில் துடித்தாள் 
வழியில் துடித்தாள் 	வலியில் துடித்தாள் 
வலி என்பதன் பொருள் காற்று 	வளி என்பதன் பொருள் காற்று 
வழி என்பதன் பொருள் காற்று 	வளி என்பதன் பொருள் காற்று 
கிராமம் செல்லும் வலி	கிராமம் செல்லும் வழி 
கிராமம் செல்லும் வளி 	கிராமம் செல்லும் வழி 
வளையில் மீன் சிக்கியது 	வலையில் மீன் சிக்கியது 
வழையில் மீன் சிக்கியது 	வலையில் மீன் சிக்கியது 
வளை ஒரு மரம் 	வழை ஒரு மரம் 
வலை ஒரு மரம் 	வழை ஒரு மரம் 
கண்ணாடி வலையல் 	கண்ணாடி வளையல் 
கண்ணாடி வழையல் 	கண்ணாடி வளையல் 
நாய் வாள்	நாய் வால்
நாய் வாழ்	நாய் வால்
நலமாக வால் 	நலமாக வாழ் 
நலமாக வாள் 	நலமாக வாழ் 
வால் கூர்மையாக இருந்தது 	வாள் கூர்மையாக இருந்தது 
வாழ் கூர்மையாக இருந்தது 	வாள் கூர்மையாக இருந்தது 
விலாக்காலம் 	விழாக்காலம் 
விளாக்காலம் 	விழாக்காலம் 
விலா ஒரு மரம் 	விளா ஒரு மரம் 
விழா ஒரு மரம் 	விளா ஒரு மரம் 
விழாவெலும்பு	விலாவெலும்பு
விளாவெலும்பு	விலாவெலும்பு
விளைவாசி உயர்வு 	விலைவாசி உயர்வு 
விழைவாசி உயர்வு 	விலைவாசி உயர்வு 
கரும்பு விலைந்தது 	கரும்பு விளைந்தது 
கரும்பு விழைந்தது 	கரும்பு விளைந்தது 
விலை என்பதன் பொருள் விரும்புதல் 	விழை என்பதன் பொருள் விரும்புதல் 
விளை என்பதன் பொருள் விரும்புதல் 	விழை என்பதன் பொருள் விரும்புதல் 
அன்னாய் கடிக்கும் 	அந்நாய் கடிக்கும் 
அந்நாய் என வணங்கினான் 	அன்னாய் என வணங்கினான் 
இன்னகை என்பதன் பொருள் இந்த நகை 	இந்நகை என்பதன் பொருள் இந்த நகை 
இந்நகை என்பதன் பொருள் இனிய நகைப்பு 	இன்னகை என்பதன் பொருள் இனிய நகைப்பு 
இன்னா என்பதன் பொருள் இந்த நாக்கு 	இந்நா என்பதன் பொருள் இந்த நாக்கு 
இந்நா என்பதன் பொருள் தீயவை 	இன்னா என்பதன் பொருள் தீயவை 
இன்னிலை என்பதன் பொருள் இந்த நிலை 	இந்நிலை என்பதன் பொருள் இந்த நிலை 
இந்நிலை என்பதன் பொருள் இனிய நிலை 	இன்னிலை என்பதன் பொருள் இனிய நிலை 
இன்னீர் என்பதன் பொருள் இந்த நீர் 	இந்நீர் என்பதன் பொருள் இந்த நீர் 
இந்நீர் என்பதன் பொருள் இனிய தன்மை  	இன்னீர் என்பதன் பொருள் இனிய தன்மை  
சென்னாய் ஒரு வகை நாய் 	செந்நாய் ஒரு வகை நாய் 
செந்நாய் என்பதன் பொருள் போகின்ற நாய் 	சென்னாய் என்பதன் பொருள் போகின்ற நாய் 
தேனீர் என்பதன் பொருள் தேயிலை நீர் 	தேநீர் என்பதன் பொருள் தேயிலை நீர் 
தேநீர் என்பதன் பொருள் தேன் கலந்த நீர் 	தேனீர் என்பதன் பொருள் தேன் கலந்த நீர் 
நன்னூல் என்பதன் பொருள் நம் நூல் 	நந்நூல் என்பதன் பொருள் நம் நூல் 
நந்நூல் என்பதன் நல்ல நூல் 	நன்னூல் என்பதன் நல்ல நூல் 
முன்னாள் என்பதன் பொருள் மூன்று நாட்கள் 	முந்நாள் என்பதன் பொருள் மூன்று நாட்கள் 
முந்நாள் என்பதன் பொருள் முன்னைய நாள் 	முன்னாள் என்பதன் பொருள் முன்னைய நாள் 
வென்னீர் என்பதன் பொருள் வெம்மையான நீர் 	வெந்நீர் என்பதன் பொருள் வெம்மையான நீர் 
வெந்நீர் என்பதன் பொருள் வெல்லும் தன்மை 	வென்னீர் என்பதன் பொருள் வெல்லும் தன்மை 
அணல் என்பதன் பொருள் நெருப்பு 	அனல் என்பதன் பொருள் நெருப்பு 
அனல் என்பதன் பொருள் கழுத்து 	அணல் என்பதன் பொருள் கழுத்து 
அனி என்பதன் பொருள் அழகு 	அணி என்பதன் பொருள் அழகு 
அணி என்பதன் பொருள் நெற்பொறி	அனி என்பதன் பொருள் நெற்பொறி
அனு என்பதன் பொருள் நுண்மை	அணு என்பதன் பொருள் நுண்மை
அணு என்பதன் பொருள் தாடை	அனு என்பதன் பொருள் தாடை
அனுக்கம் என்பதன் பொருள் அண்மை	அணுக்கம் என்பதன் பொருள் அண்மை
அணுக்கம் என்பதன் பொருள் அச்சம்	அனுக்கம் என்பதன் பொருள் அச்சம்
அனை என்பதன் பொருள் படுக்கை	அணை என்பதன் பொருள் படுக்கை
அனை என்பதன் பொருள் அணைத்துக் கொள்ளுதல்	அணை என்பதன் பொருள் அணைத்துக் கொள்ளுதல்
அணை என்பதன் பொருள் அன்னை	அனை என்பதன் பொருள் அன்னை
அணை என்பதன் பொருள் மீன்	அனை என்பதன் பொருள் மீன்
அனைய என்பதன் பொருள் சேர 	அணைய என்பதன் பொருள் சேர 
அனைய என்பதன் பொருள் அடைய	அணைய என்பதன் பொருள் அடைய
அணைய என்பதன் பொருள் அத்தகைய	அனைய என்பதன் பொருள் அத்தகைய
அன்மை என்பதன் பொருள் அருகில்	அண்மை என்பதன் பொருள் அருகில்
அண்மை என்பதன் பொருள் தீமை	அன்மை என்பதன் பொருள் தீமை
அங்கன் என்பதன் பொருள் அவ்விடம்	அங்கண் என்பதன் பொருள் அவ்விடம்
அங்கண் என்பதன் பொருள் மகன்	அங்கன் என்பதன் பொருள் மகன்
அன்னம் என்பதன் பொருள் மேல்வாய்	அண்ணம் என்பதன் பொருள் மேல்வாய்
அண்ணம் என்பதன் பொருள் சோறு	அன்னம் என்பதன் பொருள் சோறு
அண்ணம் என்பதன் பொருள் அன்னப்பறவை	அன்னம் என்பதன் பொருள் அன்னப்பறவை
அன்னன் என்பதன் பொருள் தமையன்	அண்ணன் என்பதன் பொருள் தமையன்
அண்ணன் என்பதன் பொருள் அத்தகையவன்	அன்னன் என்பதன் பொருள் அத்தகையவன்
அவன் என்பதன் பொருள் அவ்வாறு	அவண் என்பதன் பொருள் அவ்வாறு
அவண் செய்தான்	அவன் செய்தான்
ஆனகம் என்பதன் பொருள் சுரை	ஆணகம் என்பதன் பொருள் சுரை
ஆணகம் என்பதன் பொருள் துந்துபி	ஆனகம் என்பதன் பொருள் துந்துபி
ஆனம் என்பதன் பொருள் பற்றுக்கோடு	ஆணம் என்பதன் பொருள் பற்றுக்கோடு
ஆணம் என்பதன் பொருள் தெப்பம்	ஆனம் என்பதன் பொருள் தெப்பம்
ஆணம் என்பதன் பொருள் கள்	ஆனம் என்பதன் பொருள் கள்
ஆனி என்பதன் பொருள் எழுத்தாணி	ஆணி என்பதன் பொருள் எழுத்தாணி
ஆனி என்பதன் பொருள் இரும்பாணி	ஆணி என்பதன் பொருள் இரும்பாணி
ஆணி என்பது தமிழ் மாதங்களுள் ஒன்று	ஆனி என்பது தமிழ் மாதங்களுள் ஒன்று
ஆனேறு என்பதன் பொருள்  ஆண்மகன்	ஆணேறு என்பதன் பொருள்  ஆண்மகன்
ஆணேறு என்பதன் பொருள் காளை	ஆனேறு என்பதன் பொருள் காளை
ஆணேறு என்பதன் பொருள் எருது	ஆனேறு என்பதன் பொருள் எருது
ஆன் என்பதன் பொருள் ஆடவன்	ஆண் என்பதன் பொருள் ஆடவன்
ஆண் என்பதன் பொருள் பசு	ஆன் என்பதன் பொருள் பசு
ஆனை என்பதன் பொருள் கட்டளை	ஆணை என்பதன் பொருள் கட்டளை
ஆணை என்பதன் பொருள் யானை	ஆனை என்பதன் பொருள் யானை
இனை என்பதன் பொருள் துணை	இணை என்பதன் பொருள் துணை
இனை என்பதன் பொருள் இரட்டை	இணை என்பதன் பொருள் இரட்டை
இணை என்பதன் பொருள் வருத்தம்	இனை என்பதன் பொருள் வருத்தம்
இனைத்து என்பதன் பொருள் சேர்த்து	இணைத்து என்பதன் பொருள் சேர்த்து
இணைத்து என்பதன் பொருள் இத்தன்மையது	இனைத்து என்பதன் பொருள் இத்தன்மையது
இவன் என்பதன் பொருள் இவ்வாறு	இவண் என்பதன் பொருள் இவ்வாறு
இவண் என்ன வரைந்தான்?	இவன் என்ன வரைந்தான்?
ஈனவள் என்பதன் பொருள் ஈன்றவள்	ஈணவள் என்பதன் பொருள் ஈன்றவள்
ஈணவள் என்பதன் பொருள் இழிந்தவள்	ஈனவள் என்பதன் பொருள் இழிந்தவள்
உண் ஓவியம் 	உன் ஓவியம் 
சோறு உன்டான் 	சோறு உண்டான் 
உன்னல் என்பதன் பொருள் உண்ணுதல்	உண்ணல் என்பதன் பொருள் உண்ணுதல்
உண்ணல் என்பதன் பொருள் நினைத்தல்	உன்னல் என்பதன் பொருள் நினைத்தல்
உன்னி என்பதன் பொருள் ஒருவகைப் பூச்சி	உண்ணி என்பதன் பொருள் ஒருவகைப் பூச்சி
உன்னி என்பதன் பொருள் உண்பவன்	உண்ணி என்பதன் பொருள் உண்பவன்
உண்ணி என்பதன் பொருள் நினைத்து	உன்னி என்பதன் பொருள் நினைத்து
உண்ணி என்பதன் பொருள் குதிரை	உன்னி என்பதன் பொருள் குதிரை
ஊன் என்பதன் பொருள் உணவு	ஊண் என்பதன் பொருள் உணவு
ஊண் என்பதன் பொருள் மாமிசம்	ஊன் என்பதன் பொருள் மாமிசம்
அவளை என்னிக் கொண்டான் 	அவளை எண்ணிக் கொண்டான் 
விலை எண்ண?	விலை என்ன?
என்னல் என்பதன் பொருள் எண்ணுதல்	எண்ணல் என்பதன் பொருள் எண்ணுதல்
எண்ணல் என்பதன் பொருள் என்று சொல்லுதல்	என்னல் என்பதன் பொருள் என்று சொல்லுதல்
என்கு என்பதன் பொருள் கரடி	எண்கு என்பதன் பொருள் கரடி
எண்கு என்பதன் பொருள் என்று சொல்லுதல்	என்கு என்பதன் பொருள் என்று சொல்லுதல்
ஏன் என்பதன் பொருள் வலிமை	ஏண் என்பதன் பொருள் வலிமை
ஏன் என்பதன் பொருள் எல்லை 	ஏண் என்பதன் பொருள் எல்லை 
பெண் ஏண் அடிமையானாள்? 	பெண் ஏன் அடிமையானாள்? 
ஏனை என்பதன் பொருள் தொட்டில்	ஏணை என்பதன் பொருள் தொட்டில்
ஏணை என்பதன் பொருள் மற்றது	ஏனை என்பதன் பொருள் மற்றது
ஐவனம் என்பதன் பொருள் ஐந்து வண்ணம்	ஐவணம் என்பதன் பொருள் ஐந்து வண்ணம்
ஐவணம் என்பதன் பொருள் மலை நெல்	ஐவனம் என்பதன் பொருள் மலை நெல்
ஓனம் என்பதன் பொருள் ஒரு பண்டிகை	ஓணம் என்பதன் பொருள் ஒரு பண்டிகை
ஓணம் என்பதன் பொருள் எழுத்துச்சாரியை	ஓனம் என்பதன் பொருள் எழுத்துச்சாரியை
கனகம் என்பதன் பொருள் ஒரு படைப்பிரிவு	கணகம் என்பதன் பொருள் ஒரு படைப்பிரிவு
கணகம் என்பதன் பொருள் பொன்	கனகம் என்பதன் பொருள் பொன்
கனப்பு என்பதன் பொருள் குளிர்காயும் தீ	கணப்பு என்பதன் பொருள் குளிர்காயும் தீ
கணப்பு என்பதன் பொருள் பாரம்	கனப்பு என்பதன் பொருள் பாரம்
கணப்பு என்பதன் பொருள் அழுத்தம்	கனப்பு என்பதன் பொருள் அழுத்தம்
கனி என்பதன் பொருள் கணித்தல்	கணி என்பதன் பொருள் கணித்தல்
கணி என்பதன் பொருள் பழம்	கனி என்பதன் பொருள் பழம்
கணி என்பதன் பொருள் சுரங்கம்	கனி என்பதன் பொருள் சுரங்கம்
கணி என்பதன் பொருள் சாரம்	கனி என்பதன் பொருள் சாரம்
கனம் என்பதன் பொருள் கூட்டம்	கணம் என்பதன் பொருள் கூட்டம்
கணம் என்பதன் பொருள் பாரம்	கனம் என்பதன் பொருள் பாரம்
கன்னன் என்பதன் பொருள் கிருஷ்ணன்	கண்ணன் என்பதன் பொருள் கிருஷ்ணன்
கண்ணன் என்பதன் பொருள் கர்ணன்	கன்னன் என்பதன் பொருள் கர்ணன்
கன்னி என்பதன் பொருள் மாலை	கண்ணி என்பதன் பொருள் மாலை
கன்னி என்பதன் பொருள் கயிறு	கண்ணி என்பதன் பொருள் கயிறு
கன்னி என்பதன் பொருள் தாம்பு	கண்ணி என்பதன் பொருள் தாம்பு
கண்ணி என்பதன் பொருள் குமரிப்பெண்	கன்னி என்பதன் பொருள் குமரிப்பெண்
கண்ணி என்பதன் பொருள் உமை	கன்னி என்பதன் பொருள் உமை
கண்ணி ஒரு ராசி	கன்னி ஒரு ராசி
கனை என்பதன் பொருள் அம்பு	கணை என்பதன் பொருள் அம்பு
கணை என்பதன் பொருள் ஒலி	கனை என்பதன் பொருள் ஒலி
கணை என்பதன் பொருள் கனைத்தல்	கனை என்பதன் பொருள் கனைத்தல்
கன் என்பதன் பொருள் ஓர் உறுப்பு	கண் என்பதன் பொருள் ஓர் உறுப்பு
கண் என்பதன் பொருள் கல் 	கன் என்பதன் பொருள் கல் 
கண் என்பதன் பொருள் செம்பு	கன் என்பதன் பொருள் செம்பு
கண் என்பதன் பொருள் உறுதி	கன் என்பதன் பொருள் உறுதி
கன்று என்பதன் பொருள் அம்பு	கண்று என்பதன் பொருள் அம்பு
கண்று என்பதன் பொருள் அற்பம்	கன்று என்பதன் பொருள் அற்பம்
கண்று என்பதன் பொருள் இளமரம்	கன்று என்பதன் பொருள் இளமரம்
கண்று என்பதன் பொருள் குட்டி	கன்று என்பதன் பொருள் குட்டி
கண்று என்பதன் பொருள் கைவளை	கன்று என்பதன் பொருள் கைவளை
கன்னல் என்பதன் பொருள் கருதல்	கண்ணல் என்பதன் பொருள் கருதல்
கண்ணல் என்பதன் பொருள் கரும்பு	கன்னல் என்பதன் பொருள் கரும்பு
கண்ணல் என்பதன் பொருள் கற்கண்டு	கன்னல் என்பதன் பொருள் கற்கண்டு
கான் என்பதன் பொருள்  பார்	காண் என்பதன் பொருள்  பார்
காண் என்பதன் பொருள் காடு	கான் என்பதன் பொருள் காடு
காண் என்பதன் பொருள் வனம்	கான் என்பதன் பொருள் வனம்
கானம் என்பதன் பொருள் பொன்	காணம் என்பதன் பொருள் பொன்
கானம் என்பதன் பொருள் கொள்	காணம் என்பதன் பொருள் கொள்
காணம் என்பதன் பொருள் இசை	கானம் என்பதன் பொருள் இசை
காணம் என்பதன் பொருள் காடு	கானம் என்பதன் பொருள் காடு
காணம் என்பதன் பொருள் வனம்	கானம் என்பதன் பொருள் வனம்
காணம் என்பதன் பொருள் தேர்	கானம் என்பதன் பொருள் தேர்
கானல் என்பதன் பொருள் பார்த்தல்	காணல் என்பதன் பொருள் பார்த்தல்
காணல் என்பதன் பொருள் பாலை	கானல் என்பதன் பொருள் பாலை
கினி என்பதன் பொருள் கைத்தாளம்	கிணி என்பதன் பொருள் கைத்தாளம்
கிணி என்பதன் பொருள் பீடை	கினி என்பதன் பொருள் பீடை
கின்னம் என்பதன் பொருள் வட்டில்	கிண்ணம் என்பதன் பொருள் வட்டில்
கின்னம் என்பதன் பொருள் கிண்ணி	கிண்ணம் என்பதன் பொருள் கிண்ணி
கிண்ணம் என்பதன் பொருள் கிளை	கின்னம் என்பதன் பொருள் கிளை
கிண்ணம் என்பதன் பொருள் துன்பம்	கின்னம் என்பதன் பொருள் துன்பம்
குனி என்பதன் பொருள் வில்	குணி என்பதன் பொருள் வில்
குனி என்பதன் பொருள் ஊமை	குணி என்பதன் பொருள் ஊமை
குணி என்பதன் பொருள் குனிதல்	குனி என்பதன் பொருள் குனிதல்
குணி என்பதன் பொருள் வளை	குனி என்பதன் பொருள் வளை
குனித்தல் என்பதன் பொருள் மதித்தல்	குணித்தல் என்பதன் பொருள் மதித்தல்
குனித்தல் என்பதன் பொருள் எண்ணுதல்	குணித்தல் என்பதன் பொருள் எண்ணுதல்
குணித்தல் என்பதன் பொருள் வளைதல்	குனித்தல் என்பதன் பொருள் வளைதல்
குனிப்பு என்பதன் பொருள் அளவு	குணிப்பு என்பதன் பொருள் அளவு
குனிப்பு என்பதன் பொருள் ஆராய்ச்சி	குணிப்பு என்பதன் பொருள் ஆராய்ச்சி
குணிப்பு என்பதன் பொருள் வளைப்பு	குனிப்பு என்பதன் பொருள் வளைப்பு
குணிப்பு என்பதன் பொருள் ஆடல்	குனிப்பு என்பதன் பொருள் ஆடல்
கேனம் என்பதன் பொருள் செழிப்பு	கேணம் என்பதன் பொருள் செழிப்பு
கேனம் என்பதன் பொருள் மிகுதி	கேணம் என்பதன் பொருள் மிகுதி
கேணம் என்பதன் பொருள் பைத்தியம்	கேனம் என்பதன் பொருள் பைத்தியம்
கேணம் என்பதன் பொருள் பித்து	கேனம் என்பதன் பொருள் பித்து
கேனி என்பதன் பொருள் கிணறு	கேணி என்பதன் பொருள் கிணறு
கேணி என்பதன் பொருள் பித்துப் பிடித்தவர்	கேனி என்பதன் பொருள் பித்துப் பிடித்தவர்
கோன் என்பதன் பொருள் கோணல்	கோண் என்பதன் பொருள் கோணல்
கோன் என்பதன் பொருள் மாறுபாடு	கோண் என்பதன் பொருள் மாறுபாடு
கோண் என்பதன் பொருள் அரசன்	கோன் என்பதன் பொருள் அரசன்
சானம் என்பதன் பொருள் சாணைக்கல்	சாணம் என்பதன் பொருள் சாணைக்கல்
சானம் என்பதன் பொருள் சாணி	சாணம் என்பதன் பொருள் சாணி
சாணம் என்பதன் பொருள் அம்மி	சானம் என்பதன் பொருள் அம்மி
சாணம் என்பதன் பொருள் பெருங்காயம்	சானம் என்பதன் பொருள் பெருங்காயம்
சுனை என்பதன் பொருள் கூர்மை	சுணை என்பதன் பொருள் கூர்மை
சுனை என்பதன் பொருள் கரணை	சுணை என்பதன் பொருள் கரணை
சுணை என்பதன் பொருள் நீரூற்று	சுனை என்பதன் பொருள் நீரூற்று
சுன்னம் என்பதன் பொருள் வாசனைப் பொடி	சுண்ணம் என்பதன் பொருள் வாசனைப் பொடி
சுண்ணம் என்பதன் பொருள் சுண்ணாம்பு	சுன்னம் என்பதன் பொருள் சுண்ணாம்பு
